map1  	  map2  	  0  	  1  	  0.333333333333333     	  0.0              	  0.78125          	  0.260416666666667   
map1  	  map3  	  90  	  103  	  96.3333333333333      	  70.3125          	  79.6875          	  74.7395833333333    
map1  	  map4  	  0  	  4  	  1.66666666666667      	  0.0              	  3.125            	  1.30208333333333    
map1  	  map5  	  131  	  138  	  135.333333333333      	  100.0            	  100.0            	  100.0               
map1  	  map7  	  87  	  104  	  93.0                  	  67.1875          	  81.25            	  72.1354166666667    
map1  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map1  	  map13  	  128  	  129  	  128.333333333333      	  100.0            	  100.0            	  100.0               
map1  	  map14  	  128  	  133  	  130.333333333333      	  100.0            	  100.0            	  100.0               
map1  	  map15  	  6  	  23  	  12.6666666666667      	  4.6875           	  17.96875         	  9.89583333333333    
map1  	  map16  	  124  	  128  	  125.666666666667      	  96.875           	  100.0            	  98.1770833333333    
map1  	  map18  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map1  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map1  	  map22  	  129  	  134  	  131.333333333333      	  99.21875         	  100.0            	  99.7395833333333    
map1  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map1  	  map27  	  50  	  60  	  56.3333333333333      	  39.0625          	  46.875           	  44.0104166666667    
map1  	  map28  	  54  	  60  	  56.6666666666667      	  42.1875          	  46.875           	  44.2708333333333    
map1  	  map29  	  129  	  131  	  130.0                 	  100.0            	  100.0            	  100.0               
map1  	  map30  	  129  	  130  	  129.333333333333      	  100.0            	  100.0            	  100.0               
map1  	  map31  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map1  	  map34  	  130  	  133  	  131.666666666667      	  100.0            	  100.0            	  100.0               
map1  	  map37  	  69  	  100  	  86.0                  	  53.90625         	  78.125           	  67.1875             
map1  	  map38  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map2  	  map1  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map2  	  map3  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map2  	  map4  	  18  	  31  	  25.0                  	  14.0625          	  24.21875         	  19.53125            
map2  	  map5  	  113  	  114  	  113.333333333333      	  88.28125         	  89.0625          	  88.5416666666667    
map2  	  map7  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map2  	  map12  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map2  	  map13  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map2  	  map14  	  126  	  126  	  126.0                 	  98.4375          	  98.4375          	  98.4375             
map2  	  map15  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map2  	  map16  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map2  	  map18  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map2  	  map19  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
map2  	  map22  	  48  	  70  	  57.3333333333333      	  37.5             	  54.6875          	  44.7916666666667    
map2  	  map25  	  0  	  0  	  0.0                   	  0.0              	  0.0              	  0.0                 
